,Group Breakfast,,,,Group Lunch,,,,Group Dinner,,
,,,,,,,,,,,
,Position,Ai Generated Bloosher,,,Position,BACKDOOR VIOLATORS,,,Position,5Roombas,
,1,Pma,https://www.dotabuff.com/players/363849371,,1,Agony,https://www.dotabuff.com/players/177607358,,1,Dez,https://www.dotabuff.com/players/115295708
,2,Vico,https://www.dotabuff.com/players/121451644,,2,Mr. Lens,https://www.dotabuff.com/players/996170963,,2,Riceboi,https://www.dotabuff.com/players/82546205
,3,Pishtya,https://www.dotabuff.com/players/88300795,,3,Peterr,https://www.dotabuff.com/players/930087419,,3,RUffenck,https://www.dotabuff.com/players/171007008
,4,Fruitpunch,https://www.dotabuff.com/players/179529932,,4,Fufu,https://www.dotabuff.com/players/104492182,,4,"garDa ,",https://www.dotabuff.com/players/190248321
,5,Patience,https://www.dotabuff.com/players/119489176,,5,Princess,https://www.dotabuff.com/players/210590885,,5,Visions,https://www.dotabuff.com/players/283974166
,,,,,,,,,,,
,Position,braes fault,,,Position,Wilted Roses,,,Position,Polar Ass,
,1,Brae,https://www.dotabuff.com/players/55197649,,1,YBW,https://www.dotabuff.com/players/125146534,,1,Sonnegod,https://www.dotabuff.com/players/49219700
,2,breezy,https://www.dotabuff.com/players/55012505,,2,Cole,https://www.dotabuff.com/players/115075449,,2,jm,https://www.dotabuff.com/players/115129310
,3,reid,https://www.dotabuff.com/players/66648223,,3,Juggo,https://www.dotabuff.com/players/162568432,,3,saint skao,https://www.dotabuff.com/players/110962575
,4,sauce,https://www.dotabuff.com/players/106248272,,4,Darth Pikachu,https://www.dotabuff.com/players/89772237,,4,cellomello,https://www.dotabuff.com/players/213179843
,5,fade,https://www.dotabuff.com/players/145522764,,5,Andizzle,https://www.dotabuff.com/players/80875284,,5,FOX,https://www.dotabuff.com/players/177094288
,,,,,,,,,,,
,Position,Djacob Unchained,,,Position,modo fraudito,,,Position,Typical Bloosher,
,1,Jah,https://www.dotabuff.com/players/303331256,,1,PepeGrillo,https://www.dotabuff.com/players/227360030,,1,Iceyeti,https://www.dotabuff.com/players/66649891
,2,Karan,https://www.dotabuff.com/players/449741428,,2,Purffin,https://www.dotabuff.com/players/88709767,,2,Rusy,https://www.dotabuff.com/players/108203659
,3,MAR$HAL,https://www.dotabuff.com/players/158626280,,3,HerbyTheBird,https://www.dotabuff.com/players/249922667,,3,Calamity,https://www.dotabuff.com/players/84696252
,4,NKFW,https://www.dotabuff.com/players/93771421,,4,Dancing Cat,https://www.dotabuff.com/players/68724430,,4,ForThePills,https://www.dotabuff.com/players/108737528
,5,scionara,https://www.dotabuff.com/players/127139604,,5,Sharqosity,https://www.dotabuff.com/players/122468696,,5,Brightside,https://www.dotabuff.com/players/118394602
,,,,,,,,,,,
,Position,Tomato Town Terrorists,,,Position,Forced to Eat Ramen,,,Position,THE Funny Zone,
,1,OFF,https://www.dotabuff.com/players/177658823,,1,qT,https://www.dotabuff.com/players/315304140,,1,Ultragunner,https://www.dotabuff.com/players/106670947
,2,wife,https://www.dotabuff.com/players/84362769,,2,Crawfish,https://www.dotabuff.com/players/856755026,,2,Lefty,https://www.dotabuff.com/players/97985854
,3,bungus,https://www.dotabuff.com/players/258023441,,3,Tau,https://www.dotabuff.com/players/22857857,,3,Aurora,https://www.dotabuff.com/players/159579536
,4,sleepy,https://www.dotabuff.com/players/203100039,,4,Sharting & Farting,https://www.dotabuff.com/players/83641212,,4,Baboon,https://www.dotabuff.com/players/246468055
,5,miba,https://www.dotabuff.com/players/158682036,,5,BattleCat,https://www.dotabuff.com/players/307774701,,5,Jamie,https://www.dotabuff.com/players/156115328
,,,,,,,,,,,
